trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-107.3243775113104,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-190.47069334372878,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-44.89953602071271,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-166.53245059193904,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-125.36976738761224,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,7,-79.53429496938597,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-70.59045580190337,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,16,7.216665391182647,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-113.17218599202651,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-72.43424839667182,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-256.73656555686404,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,7,-8.600856173152364,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,23,2.919373342827029,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-54.336684217709596,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-6.1136347071994965,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-23.920045513309038,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-14.78564462061588,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,-27.005168119749182,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-23.006289004198297,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.0}",35,17,4.916997646922147,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,10,-27.359135845143783,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,22.595518498788174,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-1.6350602619066608,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,11,14.80229024561081,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,11,21.263473218939605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-17.690332314653052,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-21.92302413278902,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,4,17.923510708055083,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,8,-27.440305275947864,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,9,-66.56261103300828,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
