trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999790014699657}",20,0,-88.7107423425111,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9995101028879957}",20,0,-91.26009679142793,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9991603233245516}",20,0,-103.3619201491915,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9987407494201851}",20,0,-74.36518266835988,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9982514692114032}",25,0,-51.316676427722385,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.9976925853295736}",20,0,-66.24113468644691,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.9970642149650454}",25,0,-66.0589937043031,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.996366489826195}",25,0,-144.91102893771216,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9955995560934162}",25,0,-186.53487216395476,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.9947635743680779}",20,0,-109.30244137798101,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9938587196164738}",20,0,-50.573025297771565,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.9928851811087911}",20,3,-149.91037312625156,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
13,False,"{'a': 0.1, 'e': 0.9918431623531302}",25,0,-113.86911313448532,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.990732881024604}",25,0,-164.4950422822733,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.9895545688895545}",20,0,-59.93188969778973,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.988308471724922}",25,0,-114.26106275441498,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9869948492328069}",25,0,-186.22220218310704,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.9856139749502654}",25,0,-94.14062792438463,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9841661361543828}",25,0,-104.48639418675184,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9826516337626707}",25,0,-97.77889120175763,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.981070782228837}",20,0,-88.9880757604958,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.9794239094339777}",20,0,-36.80747387377583,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
