trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,12,-0.21225706808811795,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-62.75235196100394,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,13,-42.59759070014063,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-227.67433769964313,"{0: 13, 1: 4, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-84.52119998270747,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-17.18983431195614,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-176.83637358891934,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-130.2110827357117,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-157.3854799102615,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-41.31419703960046,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-117.32562734940858,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-190.747126266333,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-181.74395639521882,"{0: 21, 1: 6, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-90.12514693083055,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-203.151775176628,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-116.06872356046556,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-82.62807406754295,"{0: 19, 1: 6, 2: 3, 3: 2, 4: 0}",0
